series_id,Channel,Category,Customer Segment,Forecast Week,Forecast
ECOM B2C|1 Jar|Key Account,ECOM B2C,1 Jar,Key Account,2025-04-07,0.271901406372259
ECOM B2C|2 Jars|Key Account,ECOM B2C,2 Jars,Key Account,2025-04-07,24.160680588487057
ECOM B2C|Gift Combos|Key Account,ECOM B2C,Gift Combos,Key Account,2025-04-07,22.895469537795268
ECOM B2C|NB Smart 2 Jar|Key Account,ECOM B2C,NB Smart 2 Jar,Key Account,2025-04-07,17.645147430828533
ECOM B2C|Thunder|Key Account,ECOM B2C,Thunder,Key Account,2025-04-07,0.2717527879142947
ECOM B2C|1 Jar|Regular,ECOM B2C,1 Jar,Regular,2025-04-07,438.85576175663726
ECOM B2C|2 Jars|Regular,ECOM B2C,2 Jars,Regular,2025-04-07,515.3521886393876
ECOM B2C|Gift Combos|Regular,ECOM B2C,Gift Combos,Regular,2025-04-07,437.75712883357556
ECOM B2C|NB Smart 2 Jar|Regular,ECOM B2C,NB Smart 2 Jar,Regular,2025-04-07,0.2061593794032269
ECOM B2C|Thunder|Regular,ECOM B2C,Thunder,Regular,2025-04-07,198.2931510801085
Export|1 Jar|Key Account,Export,1 Jar,Key Account,2025-04-07,43.10295725876659
Export|2 Jars|Key Account,Export,2 Jars,Key Account,2025-04-07,0.22384054203797799
Export|CKM|Key Account,Export,CKM,Key Account,2025-04-07,17.775272832519164
Export|1 Jar|Regular,Export,1 Jar,Regular,2025-04-07,33.0437816110767
Export|2 Jars|Regular,Export,2 Jars,Regular,2025-04-07,24.07363758199055
Export|CKM|Regular,Export,CKM,Regular,2025-04-07,0.27177317327884115
Export|1 Jar|Top Account,Export,1 Jar,Top Account,2025-04-07,21.895459405722914
Export|2 Jars|Top Account,Export,2 Jars,Top Account,2025-04-07,17.932267448014194
Export|CKM|Top Account,Export,CKM,Top Account,2025-04-07,6.133441968295347
GT|1 Jar|Key Account,GT,1 Jar,Key Account,2025-04-07,568.840068106587
GT|2 Jars|Key Account,GT,2 Jars,Key Account,2025-04-07,405.39833525917084
GT|3 Jars|Key Account,GT,3 Jars,Key Account,2025-04-07,192.45930648275157
GT|CKM|Key Account,GT,CKM,Key Account,2025-04-07,249.085888503468
GT|FP|Key Account,GT,FP,Key Account,2025-04-07,82.38195074764145
GT|1 Jar|Regular,GT,1 Jar,Regular,2025-04-07,1823.3469822963316
GT|2 Jars|Regular,GT,2 Jars,Regular,2025-04-07,1050.1552671660568
GT|3 Jars|Regular,GT,3 Jars,Regular,2025-04-07,453.7080423961354
GT|CKM|Regular,GT,CKM,Regular,2025-04-07,566.1790326384285
GT|FP|Regular,GT,FP,Regular,2025-04-07,219.63525742786078
GT|1 Jar|Top Account,GT,1 Jar,Top Account,2025-04-07,116.51953415368548
GT|2 Jars|Top Account,GT,2 Jars,Top Account,2025-04-07,100.8995595001874
GT|3 Jars|Top Account,GT,3 Jars,Top Account,2025-04-07,33.29600175516471
GT|CKM|Top Account,GT,CKM,Top Account,2025-04-07,45.47913072147768
GT|FP|Top Account,GT,FP,Top Account,2025-04-07,15.629350497775114
MT|1 Jar|Key Account,MT,1 Jar,Key Account,2025-04-07,464.0659603162298
MT|2 Jars|Key Account,MT,2 Jars,Key Account,2025-04-07,560.7032466104506
MT|3 Jars|Key Account,MT,3 Jars,Key Account,2025-04-07,253.82995321978206
MT|CKM|Key Account,MT,CKM,Key Account,2025-04-07,489.6861100400761
MT|Thunder|Key Account,MT,Thunder,Key Account,2025-04-07,223.59564980128087
MT|1 Jar|Regular,MT,1 Jar,Regular,2025-04-07,534.2509420021765
MT|2 Jars|Regular,MT,2 Jars,Regular,2025-04-07,819.3641625080418
MT|3 Jars|Regular,MT,3 Jars,Regular,2025-04-07,309.4468820106604
MT|CKM|Regular,MT,CKM,Regular,2025-04-07,453.9313992704501
MT|Thunder|Regular,MT,Thunder,Regular,2025-04-07,356.03250756720223
MT|1 Jar|Top Account,MT,1 Jar,Top Account,2025-04-07,104.09613930483594
MT|2 Jars|Top Account,MT,2 Jars,Top Account,2025-04-07,0.20614391564698822
MT|3 Jars|Top Account,MT,3 Jars,Top Account,2025-04-07,63.66590219623935
MT|CKM|Top Account,MT,CKM,Top Account,2025-04-07,106.65558949421587
MT|Thunder|Top Account,MT,Thunder,Top Account,2025-04-07,55.35487395958845
Others|1 Jar|Key Account,Others,1 Jar,Key Account,2025-04-07,14.266944702397865
Others|2 Jars|Key Account,Others,2 Jars,Key Account,2025-04-07,9.653453116015347
Others|CKM|Key Account,Others,CKM,Key Account,2025-04-07,5.820455453966348
Others|1 Jar|Regular,Others,1 Jar,Regular,2025-04-07,0.20619731447316275
Others|2 Jars|Regular,Others,2 Jars,Regular,2025-04-07,0.24262333039313844
Others|CKM|Regular,Others,CKM,Regular,2025-04-07,41.262548188667566
Others|1 Jar|Top Account,Others,1 Jar,Top Account,2025-04-07,3.206285596673644
Others|2 Jars|Top Account,Others,2 Jars,Top Account,2025-04-07,0.2680551828871749
Others|CKM|Top Account,Others,CKM,Top Account,2025-04-07,2.727069106302171
Website|1 Jar|Key Account,Website,1 Jar,Key Account,2025-04-07,0.2717527879142947
Website|2 Jars|Key Account,Website,2 Jars,Key Account,2025-04-07,6.632357453373766
Website|Gift Combos|Key Account,Website,Gift Combos,Key Account,2025-04-07,0.2691474947513295
Website|NB Smart 2 Jar|Key Account,Website,NB Smart 2 Jar,Key Account,2025-04-07,4.157079775094719
Website|1 Jar|Regular,Website,1 Jar,Regular,2025-04-07,143.6654953315768
Website|2 Jars|Regular,Website,2 Jars,Regular,2025-04-07,133.49356128575178
Website|Gift Combos|Regular,Website,Gift Combos,Regular,2025-04-07,96.2642376446208
Website|NB Smart 2 Jar|Regular,Website,NB Smart 2 Jar,Regular,2025-04-07,65.82339267941299
CG|1 Jar|Key Account,CG,1 Jar,Key Account,2025-04-14,208.26356969618618
CG|2 Jars|Key Account,CG,2 Jars,Key Account,2025-04-14,379.48955052197687
CG|3 Jars|Key Account,CG,3 Jars,Key Account,2025-04-14,0.21653588715801764
CG|CKM|Key Account,CG,CKM,Key Account,2025-04-14,264.86375086682375
CG|NB Smart 2 Jar|Key Account,CG,NB Smart 2 Jar,Key Account,2025-04-14,188.78386422675473
