H,Category,MAE,MAPE,sMAPE
1,1 Jar,76.83871999656307,2241696070.3393188,47.07442665879771
1,2 Jars,82.98475284675064,2656552723.1635303,41.285617321501825
1,3 Jars,51.03166614599079,701756659.7787973,40.20306253459
1,Blender,29.125918829126505,1547261836.7595098,34.83894247563872
1,CKM,37.17562692806706,696910625.8651297,38.6576743891405
1,FP,24.130341007178604,796433474.4928358,36.366350023966696
1,Gift Combos,45.06025299141991,101945285.2799978,29.67703659774517
1,NB Smart 2 Jar,48.88876380144473,1651630649.4748065,49.81713402871186
1,Thunder,36.40309832767467,1069063228.245206,49.52950257950447
2,1 Jar,96.81730614024227,3576555123.022314,50.68546578278556
2,2 Jars,78.08784565779376,2113159885.032163,38.94869886219483
2,3 Jars,49.76932188611826,675869949.0151144,40.33915365523894
2,Blender,32.09740026653652,1826943344.159374,41.50521457295624
2,CKM,35.685370661602384,695130747.1586156,40.369975435467055
2,FP,24.950113989891573,853039346.2963743,37.47514506384188
2,Gift Combos,44.146877904434746,107421922.40975338,29.07440154504374
2,NB Smart 2 Jar,48.388117716627555,1540424053.2910898,50.1604483786034
2,Thunder,41.86645770488401,1450035632.3241208,46.8796205657504
3,1 Jar,91.69252122403397,3512933654.191662,51.2385034909331
3,2 Jars,69.47396752640945,1588492085.3628001,40.54447755701264
3,3 Jars,54.04188503283476,739931441.8398917,41.58852539001948
3,Blender,26.209086561354212,1726042710.26453,42.36722549212208
3,CKM,37.454708783470714,1224561500.0357738,43.14742346653037
3,FP,25.191874648696654,801238480.8139243,37.626378540959784
3,Gift Combos,51.89421414997662,113758773.54622078,32.556810704868454
3,NB Smart 2 Jar,45.46689660243839,1569078043.172119,51.2522605410782
3,Thunder,41.5670599001462,1410722957.9380805,49.27165335401758
4,1 Jar,88.31564871899347,3701679523.399308,49.453379899085206
4,2 Jars,69.91391913179524,1737766317.4799774,41.798504676835094
4,3 Jars,53.07916052055928,920195963.8878189,42.84252140289048
4,Blender,28.923544839480797,1834492919.7167664,44.40296341768873
4,CKM,38.27921822893118,1245662620.957426,46.09850393155133
4,FP,25.920832205669168,799107705.4022307,40.51242090896052
