H,Customer Segment,MAE,MAPE,sMAPE
1,Key Account,106.90627675177788,119012677.36659649,186.70081266814964
1,Regular,99.77913704760304,138471843.948771,141.37657093524584
1,Top Account,49.90785928367253,40161951.36687842,193.50306183456837
2,Key Account,97.23714545173085,354996285.816887,186.55289034455942
2,Regular,109.11486265281907,127979925.69668567,144.36392769924882
2,Top Account,43.1792235278657,74267670.44607362,193.4288905908927
3,Key Account,102.9162698204174,190430149.82988968,187.30086382058
3,Regular,116.44053012371606,138882151.44258806,143.77601033994452
3,Top Account,43.87633086779726,837924490.3180538,194.1946095782814
