series_id,Channel,Category,Customer Segment,Forecast Month,Forecast
Canteen|CKM|Regular,Canteen,CKM,Regular,2025-04,119.28347837877284
Canteen|Combos|Regular,Canteen,Combos,Regular,2025-04,0.014444193494294091
Canteen|FP|Regular,Canteen,FP,Regular,2025-04,1.572990657578782
Canteen|Gift Combos|Regular,Canteen,Gift Combos,Regular,2025-04,0.014444193494294091
Canteen|NB Smart 2 Jar|Regular,Canteen,NB Smart 2 Jar,Regular,2025-04,9.256757850938014
Canteen|NB Smart 3 Jar|Regular,Canteen,NB Smart 3 Jar,Regular,2025-04,0.01501328323767526
Canteen|NB Smart CKM|Regular,Canteen,NB Smart CKM,Regular,2025-04,0.009834026392416888
Canteen|Personal Blender|Regular,Canteen,Personal Blender,Regular,2025-04,0.014444193494294091
Canteen|Sipper Jar|Regular,Canteen,Sipper Jar,Regular,2025-04,0.01734105011365807
Canteen|Storm|Regular,Canteen,Storm,Regular,2025-04,0.014444193494294091
Canteen|Thunder|Regular,Canteen,Thunder,Regular,2025-04,8.196895012884244
Canteen|1 Jar|Top Account,Canteen,1 Jar,Top Account,2025-04,0.007436761378515251
Canteen|2 Jars|Top Account,Canteen,2 Jars,Top Account,2025-04,0.00954021154657539
Canteen|3 Jars|Top Account,Canteen,3 Jars,Top Account,2025-04,0.0077512772760543434
Canteen|Blender|Top Account,Canteen,Blender,Top Account,2025-04,0.010726229786715615
Canteen|CKM|Top Account,Canteen,CKM,Top Account,2025-04,0.006924033053807639
Canteen|Combos|Top Account,Canteen,Combos,Top Account,2025-04,0.007423206863675433
Canteen|FP|Top Account,Canteen,FP,Top Account,2025-04,0.006331007020460697
Canteen|Gift Combos|Top Account,Canteen,Gift Combos,Top Account,2025-04,0.007423206863675433
Canteen|NB Smart 2 Jar|Top Account,Canteen,NB Smart 2 Jar,Top Account,2025-04,0.005412364867479863
Canteen|NB Smart 3 Jar|Top Account,Canteen,NB Smart 3 Jar,Top Account,2025-04,0.006835531955883044
Canteen|NB Smart CKM|Top Account,Canteen,NB Smart CKM,Top Account,2025-04,0.005230080333008554
Canteen|Personal Blender|Top Account,Canteen,Personal Blender,Top Account,2025-04,0.007423206863675433
Canteen|Sipper Jar|Top Account,Canteen,Sipper Jar,Top Account,2025-04,0.008808233334694998
Canteen|Storm|Top Account,Canteen,Storm,Top Account,2025-04,0.007423206863675433
Canteen|Thunder|Top Account,Canteen,Thunder,Top Account,2025-04,0.007423206863675433
DTH|1 Jar|Key Account,DTH,1 Jar,Key Account,2025-04,0.011576605919352612
DTH|2 Jars|Key Account,DTH,2 Jars,Key Account,2025-04,0.016916177781799387
DTH|3 Jars|Key Account,DTH,3 Jars,Key Account,2025-04,0.011890907845598077
DTH|Blender|Key Account,DTH,Blender,Key Account,2025-04,0.017028596636183488
